name,day,hour,bike_stands_mean,available_bikes_mean,available_bike_stands_mean
BARROW STREET,Friday,0,40.0,13.652173913043478,26.347826086956523
BARROW STREET,Friday,1,40.0,14.12,25.88
BARROW STREET,Friday,2,40.0,13.869565217391305,26.130434782608695
BARROW STREET,Friday,3,40.0,14.0,26.0
BARROW STREET,Friday,4,40.0,14.84,25.16
BARROW STREET,Friday,5,40.0,11.458333333333334,28.541666666666668
BARROW STREET,Friday,6,40.0,15.652173913043478,24.347826086956523
BARROW STREET,Friday,7,40.0,22.25,17.291666666666668
BARROW STREET,Friday,8,40.0,21.6,17.92
BARROW STREET,Friday,9,40.0,22.208333333333332,17.25
BARROW STREET,Friday,10,40.0,20.043478260869566,19.47826086956522
BARROW STREET,Friday,11,40.0,20.416666666666668,19.083333333333332
BARROW STREET,Friday,12,40.0,22.08,17.4
BARROW STREET,Friday,13,40.0,18.12,21.4
BARROW STREET,Friday,14,40.0,18.272727272727273,21.636363636363637
BARROW STREET,Friday,15,40.0,18.208333333333332,21.791666666666668
BARROW STREET,Friday,16,40.0,8.08,31.92
BARROW STREET,Friday,17,40.0,2.608695652173913,37.391304347826086
BARROW STREET,Friday,18,40.0,4.708333333333333,35.291666666666664
BARROW STREET,Friday,19,40.0,8.666666666666666,31.333333333333332
BARROW STREET,Friday,20,40.0,11.541666666666666,28.458333333333332
BARROW STREET,Friday,21,40.0,12.92,27.08
BARROW STREET,Friday,22,40.0,14.708333333333334,25.291666666666668
BARROW STREET,Friday,23,40.0,16.666666666666668,23.333333333333332
BARROW STREET,Monday,0,40.0,19.0,21.0
BARROW STREET,Monday,1,40.0,19.12,20.88
BARROW STREET,Monday,2,40.0,18.869565217391305,21.130434782608695
BARROW STREET,Monday,3,40.0,19.0,21.0
BARROW STREET,Monday,4,40.0,19.083333333333332,20.916666666666668
BARROW STREET,Monday,5,40.0,21.916666666666668,18.083333333333332
BARROW STREET,Monday,6,40.0,18.88,21.12
BARROW STREET,Monday,7,40.0,26.47826086956522,13.521739130434783
BARROW STREET,Monday,8,40.0,29.52,10.48
BARROW STREET,Monday,9,40.0,29.91304347826087,10.08695652173913
BARROW STREET,Monday,10,40.0,28.0,12.0
BARROW STREET,Monday,11,40.0,27.82608695652174,12.173913043478262
BARROW STREET,Monday,12,40.0,25.8,14.2
BARROW STREET,Monday,13,40.0,27.869565217391305,12.130434782608695
BARROW STREET,Monday,14,40.0,27.875,12.125
BARROW STREET,Monday,15,40.0,27.458333333333332,12.541666666666666
BARROW STREET,Monday,16,40.0,26.0,14.0
BARROW STREET,Monday,17,40.0,24.541666666666668,15.458333333333334
BARROW STREET,Monday,18,40.0,22.875,17.125
BARROW STREET,Monday,19,40.0,24.083333333333332,15.916666666666666
BARROW STREET,Monday,20,40.0,23.166666666666668,16.833333333333332
BARROW STREET,Monday,21,40.0,22.666666666666668,17.333333333333332
BARROW STREET,Monday,22,40.0,21.25,18.75
BARROW STREET,Monday,23,40.0,21.56,18.44
BARROW STREET,Saturday,0,40.0,17.0,23.0
BARROW STREET,Saturday,1,40.0,16.88,23.12
BARROW STREET,Saturday,2,40.0,17.0,23.0
BARROW STREET,Saturday,3,40.0,17.0,23.0
BARROW STREET,Saturday,4,40.0,17.0,23.0
BARROW STREET,Saturday,5,40.0,19.2,20.8
BARROW STREET,Saturday,6,40.0,18.24,21.76
BARROW STREET,Saturday,7,40.0,15.91304347826087,24.08695652173913
BARROW STREET,Saturday,8,40.0,12.541666666666666,27.458333333333332
BARROW STREET,Saturday,9,40.0,7.3478260869565215,32.65217391304348
BARROW STREET,Saturday,10,40.0,4.8,35.2
BARROW STREET,Saturday,11,40.0,4.0,36.0
BARROW STREET,Saturday,12,40.0,2.0,38.0
BARROW STREET,Saturday,13,40.0,1.75,38.25
BARROW STREET,Saturday,14,40.0,3.0833333333333335,36.916666666666664
BARROW STREET,Saturday,15,40.0,5.625,34.375
BARROW STREET,Saturday,16,40.0,14.08695652173913,25.91304347826087
BARROW STREET,Saturday,17,40.0,16.16,23.84
BARROW STREET,Saturday,18,40.0,17.47826086956522,22.52173913043478
BARROW STREET,Saturday,19,40.0,18.16,21.84
BARROW STREET,Saturday,20,40.0,19.583333333333332,20.416666666666668
BARROW STREET,Saturday,21,40.0,16.5,23.5
BARROW STREET,Saturday,22,40.0,20.82608695652174,19.17391304347826
BARROW STREET,Saturday,23,40.0,21.541666666666668,18.458333333333332
BARROW STREET,Sunday,0,40.0,22.2,17.8
BARROW STREET,Sunday,1,40.0,21.5,18.5
BARROW STREET,Sunday,2,40.0,20.73913043478261,19.26086956521739
BARROW STREET,Sunday,3,40.0,21.5,18.5
BARROW STREET,Sunday,4,40.0,23.115384615384617,16.884615384615383
BARROW STREET,Sunday,5,40.0,19.91304347826087,20.08695652173913
BARROW STREET,Sunday,6,40.0,22.88,17.12
BARROW STREET,Sunday,7,40.0,20.91304347826087,19.08695652173913
BARROW STREET,Sunday,8,40.0,20.043478260869566,19.956521739130434
BARROW STREET,Sunday,9,40.0,20.076923076923077,19.923076923076923
BARROW STREET,Sunday,10,40.0,19.875,20.125
BARROW STREET,Sunday,11,40.0,19.541666666666668,20.458333333333332
BARROW STREET,Sunday,12,40.0,20.652173913043477,19.347826086956523
BARROW STREET,Sunday,13,40.0,18.608695652173914,21.391304347826086
BARROW STREET,Sunday,14,40.0,20.88,19.12
BARROW STREET,Sunday,15,40.0,20.0,20.0
BARROW STREET,Sunday,16,40.0,24.91304347826087,15.08695652173913
BARROW STREET,Sunday,17,40.0,25.36,14.64
BARROW STREET,Sunday,18,40.0,26.652173913043477,13.347826086956522
BARROW STREET,Sunday,19,40.0,19.192307692307693,20.807692307692307
BARROW STREET,Sunday,20,40.0,18.272727272727273,21.727272727272727
BARROW STREET,Sunday,21,40.0,20.791666666666668,19.208333333333332
BARROW STREET,Sunday,22,40.0,18.52,21.48
BARROW STREET,Sunday,23,40.0,19.0,21.0
